City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,salinas,36.6777,-121.6555,12.26,88,0,6.69,US,1705661560
82,colmenar viejo,40.6591,-3.7676,5.93,93,75,11.32,ES,1705661561
83,drammen,59.7439,10.2045,-9.37,89,72,0.5,NO,1705661561
84,yuto,-23.6434,-64.4719,27.47,80,99,1.34,AR,1705661562
85,ankang,32.68,109.0172,5.4,67,100,1.6,CN,1705661562
86,fale old settlement,-9.3852,-171.2468,29.46,66,98,6.16,TK,1705661563
87,uliastay,47.7417,96.8444,-24.02,98,98,1.57,MN,1705661563
88,toliara,-23.35,43.6667,30.28,68,100,5.49,MG,1705661564
89,taroa,8.7058,171.2275,26.94,84,100,7.5,MH,1705661564
90,bilibino,68.0546,166.4372,-20.93,95,75,1.55,RU,1705661565
91,puerto ayora,-0.7393,-90.3518,25.31,96,74,2.24,EC,1705661565
92,ta`u,-14.2336,-169.5144,28.33,81,99,5.23,AS,1705661566
93,xilin hot,43.9667,116.0333,-14.06,96,100,4.34,CN,1705661566
94,egersund,58.4513,5.9997,0.77,62,97,5.77,NO,1705661567
95,east london,-33.0153,27.9116,24.52,60,40,8.23,ZA,1705661567
96,el charco,2.4769,-78.1105,24.08,98,100,2.0,CO,1705661568
97,villa gesell,-37.2639,-56.973,17.81,71,13,7.93,AR,1705661299
98,opuwo,-18.0607,13.84,31.77,21,26,3.48,NA,1705661569
99,zheleznogorsk-ilimskiy,56.5768,104.1217,-26.46,100,93,0.89,RU,1705661570
100,darnah,32.767,22.6367,23.71,30,41,3.45,LY,1705661570
101,ahmadpur,18.7,76.9333,30.0,26,0,3.02,IN,1705661571
102,tindouf,27.6711,-8.1474,16.25,11,75,3.6,DZ,1705661571
103,tyre,33.2733,35.1939,22.34,59,12,2.59,LB,1705661572
104,tiksi,71.6872,128.8694,-31.6,97,100,3.72,RU,1705661572
105,sainte-menehould,49.0833,4.9,-1.06,92,67,0.62,FR,1705661573
106,margaret river,-33.95,115.0667,19.39,72,41,5.9,AU,1705661573
107,iskateley,67.6803,53.1512,-14.39,85,100,8.28,RU,1705661574
108,tonj,7.2737,28.6822,34.32,8,5,3.26,SS,1705661575
109,nurmo,62.8287,22.9099,-12.66,89,100,5.66,FI,1705661576
110,tha khanon,9.0302,98.9529,30.9,69,29,3.3,TH,1705661576
111,nguigmi,14.2495,13.1092,26.31,16,59,6.07,NE,1705661577
112,kavaratti,10.5669,72.642,27.95,66,0,2.19,IN,1705661577
113,atafu village,-8.5421,-172.5159,29.29,67,64,6.08,TK,1705661578
114,bowen,-20.0167,148.2333,28.35,80,99,5.15,AU,1705661579
115,dosso,13.049,3.1937,29.79,8,0,6.44,NE,1705661579
116,port lincoln,-34.7333,135.8667,18.14,69,21,2.3,AU,1705661580
117,callao,-12.0667,-77.15,23.18,88,20,1.54,PE,1705661580
118,avarua,-21.2078,-159.775,25.03,88,75,3.09,CK,1705661581
119,happy valley-goose bay,53.3168,-60.3315,-1.83,86,100,4.63,CA,1705661581
120,wanning,18.8003,110.3967,21.81,84,51,2.7,CN,1705661582
121,hermanus,-34.4187,19.2345,30.56,36,4,4.38,ZA,1705661582
122,bereznik,62.8551,42.7072,-9.26,91,100,4.25,RU,1705661583
123,broken hill,-31.95,141.4333,26.56,25,94,4.01,AU,1705661583
124,novyy urengoy,66.0833,76.6333,-18.28,95,64,5.64,RU,1705661584
125,keflavik,64.0049,-22.5624,-5.76,68,100,8.23,IS,1705661584
126,arteche,12.2645,125.4048,25.14,87,68,3.96,PH,1705661585
127,san patricio,28.017,-97.5169,12.92,88,100,5.3,US,1705661585
128,chegdomyn,51.1167,133.0167,-29.52,100,97,0.62,RU,1705661586
129,saipan,15.1355,145.701,26.39,65,75,7.72,MP,1705661587
130,nemuro,43.3236,145.575,-3.65,67,100,7.94,JP,1705661587
131,kiunga,-6.1219,141.2906,25.67,89,78,1.26,PG,1705661588
132,shar'ya,58.3686,45.5144,-2.79,97,100,2.68,RU,1705661588
133,puerto natales,-51.7236,-72.4875,8.25,71,75,9.26,CL,1705661589
134,bratsk,56.1325,101.6142,-20.73,100,88,1.49,RU,1705661589
135,wimauma,27.7125,-82.299,15.92,97,100,1.13,US,1705661590
136,adi keyh,14.8444,39.3772,18.46,52,29,0.62,ER,1705661590
137,manta,-0.95,-80.7333,26.67,78,100,4.92,EC,1705661591
138,puerto quijarro,-17.7833,-57.7667,28.13,66,20,1.37,BO,1705661591
139,udachny,66.4167,112.4,-36.98,99,68,1.86,RU,1705661592
140,dudinka,69.4058,86.1778,-16.85,93,100,10.73,RU,1705661592
141,bridgewater,44.3835,-64.5155,-4.18,67,28,6.17,CA,1705661593
142,tallulah,32.4085,-91.1868,3.03,87,100,3.09,US,1705661594
143,san rafael,-34.6177,-68.3301,20.59,18,0,1.03,AR,1705661431
144,lazaro cardenas,17.9583,-102.2,24.32,68,100,1.13,MX,1705661595
145,tazovsky,67.4667,78.7,-16.95,94,95,5.98,RU,1705661595
146,axim,4.8699,-2.2405,30.57,58,3,1.44,GH,1705661596
147,saint-louis,16.3333,-15.0,21.8,40,100,3.31,SN,1705661596
148,uturoa,-16.7333,-151.4333,27.36,77,57,3.1,PF,1705661597
149,lamar,33.6668,-95.5836,-0.05,67,0,5.66,US,1705661597
150,benguela,-12.5763,13.4055,28.65,58,37,4.14,AO,1705661598
151,metlili chaamba,32.2667,3.6333,19.52,10,0,3.09,DZ,1705661598
152,tura,25.5198,90.2201,19.42,49,26,1.81,IN,1705661599
153,vernon,50.2581,-119.2691,-6.5,83,100,2.57,CA,1705661600
154,rizhao,35.4275,119.4553,1.42,72,100,6.08,CN,1705661601
155,siracusa,37.0881,15.2792,19.77,56,100,5.99,IT,1705661601
156,bezhetsk,57.7851,36.6965,-7.2,87,74,4.81,RU,1705661602
157,yeniseysk,58.4497,92.1703,-23.92,99,90,1.34,RU,1705661602
158,naze,28.3667,129.4833,17.51,82,98,3.14,JP,1705661603
159,nar'yan-mar,67.6713,53.087,-14.32,85,100,8.3,RU,1705661603
160,ravar,31.2656,56.8055,14.96,20,17,3.92,IR,1705661604
161,menongue,-14.6585,17.691,28.89,43,13,1.6,AO,1705661604
162,nangomba,-10.9,38.5,28.44,73,97,1.58,TZ,1705661605
163,rouissat,31.9243,5.3502,20.04,11,75,2.06,DZ,1705661605
164,ujae,8.9322,165.7642,27.25,80,100,10.21,MH,1705661606
165,cumbum,9.7333,77.3,27.87,67,45,2.42,IN,1705661606
166,naracoorte,-36.9579,140.7383,19.26,47,37,2.9,AU,1705661607
167,cabo san lucas,22.8909,-109.9124,17.64,73,0,3.37,MX,1705661607
168,saldanha,-33.0117,17.9442,36.03,44,0,4.15,ZA,1705661608
169,ambatofinandrahana,-20.55,46.8,21.4,60,100,1.61,MG,1705661609
170,sultanah,24.4926,39.5857,22.25,24,0,3.6,SA,1705661609
171,lompoc,34.6391,-120.4579,11.44,94,0,4.12,US,1705661610
172,acarau,-2.8856,-40.12,27.94,73,63,5.64,BR,1705661610
173,al majaridah,19.1236,41.9111,28.1,51,16,3.09,SA,1705661611
174,emerald,-23.5333,148.1667,31.3,57,100,7.69,AU,1705661586
175,arinos,-15.9169,-46.1056,25.54,62,9,0.54,BR,1705661612
176,mizdah,31.4451,12.9801,22.69,11,82,6.72,LY,1705661613
177,la passe,45.5549,-0.8967,2.13,63,70,5.85,FR,1705661613
178,rio gallegos,-51.6226,-69.2181,7.03,76,0,4.12,AR,1705661614
179,san juan de los morros,9.9115,-67.3538,19.49,80,7,1.4,VE,1705661614
180,hawaiian paradise park,19.5933,-154.9731,22.8,97,100,3.09,US,1705661615
181,los alamos,35.8881,-106.307,-0.12,78,0,4.12,US,1705661616
182,daru,-9.0763,143.2092,28.12,80,100,3.03,PG,1705661616
183,freetown,8.484,-13.2299,29.65,58,3,2.24,SL,1705661617
184,mary,37.0,62.5,11.49,51,98,3.91,TM,1705661617
185,aioun,16.6614,-9.6149,28.69,8,1,6.22,MR,1705661618
186,paoua,7.2427,16.4406,33.37,8,1,2.9,CF,1705661618
187,brookings,44.3114,-96.7984,-19.34,73,100,6.69,US,1705661339
188,kerikeri,-35.2268,173.9474,23.28,91,29,0.89,NZ,1705661619
189,kelibia,36.8476,11.0939,18.14,68,0,1.54,TN,1705661620
190,pisco,-13.7,-76.2167,21.03,88,0,1.54,PE,1705661620
191,saint-francois,46.4154,3.9054,-0.2,81,35,1.03,FR,1705661621
192,la plata,-34.9215,-57.9545,21.57,46,4,5.81,AR,1705661340
193,port elizabeth,-33.918,25.5701,24.62,65,20,9.26,ZA,1705661622
194,kapuskasing,49.4169,-82.4331,-26.95,76,0,2.57,CA,1705661622
195,olyokminsk,60.3736,120.4264,-25.01,96,100,1.95,RU,1705661623
196,el golaa,33.4849,9.0068,20.87,16,100,5.84,TN,1705661623
197,pagar alam,-4.0167,103.2667,20.75,98,100,1.44,ID,1705661624
198,san jose del guaviare,2.5729,-72.6459,22.71,84,71,0.84,CO,1705661624
199,santa elena de uairen,4.6167,-61.1333,18.39,86,63,1.6,VE,1705661625
200,murray bridge,-35.1167,139.2667,20.19,60,47,2.7,AU,1705661626
201,palikir - national government center,6.9248,158.1611,27.17,77,81,11.35,FM,1705661626
202,clifton,40.8584,-74.1638,-0.01,71,100,3.6,US,1705661627
203,susuman,62.7833,148.1667,-33.9,98,100,0.45,RU,1705661627
204,anadyr,64.75,177.4833,-7.72,93,100,2.0,RU,1705661628
205,stanley,54.868,-1.6985,3.62,81,20,9.26,GB,1705661628
206,znamensk,48.5842,45.7338,1.16,99,100,7.94,RU,1705661629
207,alofi,-19.0595,-169.9187,26.94,94,75,2.57,NU,1705661630
208,boma,7.0805,-2.1697,34.96,33,7,0.8,GH,1705661630
209,qaqortoq,60.7167,-46.0333,0.07,53,100,6.22,GL,1705661631
210,birnin kudu,11.4459,9.4984,28.13,9,1,4.13,NG,1705661631
211,talnakh,69.4865,88.3972,-17.11,92,100,5.82,RU,1705661632
212,katsuren-haebaru,26.3369,127.8719,24.43,72,100,2.57,JP,1705661632
213,jijel,36.8205,5.7667,21.07,51,100,1.34,DZ,1705661633
214,sakaraha,-22.9,44.5333,29.07,60,100,1.98,MG,1705661633
215,la'ie,21.6477,-157.9253,21.98,82,0,2.7,US,1705661634
216,wuhai,39.6647,106.8122,-5.25,79,83,5.06,CN,1705661634
217,ormara,25.2088,64.6357,23.14,70,7,5.06,PK,1705661635
218,kouango,4.9934,19.9619,37.08,10,4,2.51,CF,1705661636
219,siwa oasis,29.2041,25.5195,23.18,17,3,3.51,EG,1705661636
220,arkhangel'sk,64.5401,40.5433,-10.94,92,40,5.0,RU,1705661637
221,puerto baquerizo moreno,-0.9,-89.6,24.66,90,35,3.72,EC,1705661637
222,bodaybo,57.8506,114.1933,-31.73,100,92,0.85,RU,1705661638
223,novodzhereliyevskaya,45.7737,38.6723,12.86,69,100,8.76,RU,1705661638
224,belyy yar,53.6039,91.3903,-24.06,84,25,0.0,RU,1705661639
225,jamestown,42.097,-79.2353,-5.23,97,100,0.89,US,1705661360
226,mejit,10.2753,170.8646,27.04,77,83,8.19,MH,1705661640
227,yamazakicho-nakabirose,35.0,134.55,9.08,83,99,2.32,JP,1705661641
228,ilulissat,69.2167,-51.1,-9.99,73,75,2.06,GL,1705661641
229,hilo,19.7297,-155.09,22.92,98,100,3.09,US,1705661642
230,krasnoyarsk,56.0097,92.7917,-21.31,100,66,1.0,RU,1705661642
231,turpan,42.9333,89.1667,0.76,69,22,1.62,CN,1705661643
232,taoudenni,22.6783,-3.9836,26.59,6,10,3.44,ML,1705661644
233,sao vicente,-23.9631,-46.3919,28.48,26,100,1.7,BR,1705661644
234,tralee,52.2704,-9.7026,0.14,80,0,2.06,IE,1705661645
235,wagar,16.1525,36.2032,29.79,22,4,4.04,SD,1705661645
236,cruzeiro do sul,-29.5128,-51.9853,26.38,88,12,1.18,BR,1705661646
237,vila franca do campo,37.7167,-25.4333,18.27,99,75,3.87,PT,1705661647
238,altai,46.3722,96.2583,-24.67,96,96,2.8,MN,1705661647
239,tuineje,28.3237,-14.0472,20.88,56,1,8.49,ES,1705661648
240,soure,-0.7167,-48.5233,27.75,77,32,4.23,BR,1705661648
241,tazacorte,28.629,-17.9293,19.54,72,20,4.12,ES,1705661649
242,xinyuan,37.3,99.0,-9.37,15,5,11.88,CN,1705661649
243,kununurra,-15.7667,128.7333,29.99,79,100,2.57,AU,1705661650
244,ytrebygda,60.305,5.2824,1.41,92,75,6.69,NO,1705661650
245,bandar lampung,-5.4254,105.258,23.59,97,100,1.0,ID,1705661651
246,magadan,59.5667,150.8,-15.16,92,100,1.41,RU,1705661652
247,kotido,2.9806,34.1331,29.19,29,96,1.95,UG,1705661652
248,vilyuysk,63.7553,121.6247,-40.89,100,93,1.64,RU,1705661653
249,dunedin,-45.8742,170.5036,16.56,77,100,2.08,NZ,1705661653
250,caleta de carquin,-11.0925,-77.6267,21.99,90,96,2.96,PE,1705661654
251,pasighat,28.0667,95.3333,16.99,58,0,0.73,IN,1705661654
252,vilyuchinsk,52.9306,158.4028,-4.85,95,100,3.28,RU,1705661655
253,tomatlan,19.9333,-105.25,20.95,63,100,0.7,MX,1705661655
254,kapa'a,22.0752,-159.319,22.99,83,0,3.09,US,1705661656
255,sovetskiy,61.3614,63.5842,-16.36,92,41,4.51,RU,1705661656
256,gbarnga,6.9956,-9.4722,32.48,46,25,1.02,LR,1705661657
257,nova sintra,14.8667,-24.7167,19.73,65,97,10.45,CV,1705661657
258,minas de marcona,-15.2119,-75.1103,17.7,95,100,3.74,PE,1705661658
259,mount isa,-20.7333,139.5,26.87,89,75,4.12,AU,1705661658
260,lincoln,40.8,-96.667,-18.74,78,32,2.24,US,1705661614
261,akureyri,65.6835,-18.0878,-14.04,78,75,4.63,IS,1705661660
262,suncho corral,-27.9336,-63.4294,26.43,58,64,3.22,AR,1705661660
263,sausset-les-pins,43.3314,5.1043,5.13,65,0,12.35,FR,1705661661
264,punta arenas,-53.15,-70.9167,8.06,71,0,8.23,CL,1705661479
265,ernee,48.2976,-0.9314,0.75,67,3,1.97,FR,1705661662
266,sinabang,2.4803,96.3801,27.85,78,100,1.73,ID,1705661662
267,namsos,64.4662,11.4957,-13.97,78,0,6.69,NO,1705661663
268,pimentel,-6.8367,-79.9342,23.16,78,75,4.63,PE,1705661663
269,barcelos,41.5388,-8.6151,13.29,75,93,1.75,PT,1705661664
270,antonio enes,-16.2325,39.9086,31.55,56,89,6.68,MZ,1705661665
271,bengkulu,-3.8004,102.2655,24.44,94,100,2.7,ID,1705661665
272,portland,45.5234,-122.6762,2.57,86,40,2.24,US,1705661590
273,narnaul,28.0444,76.1083,20.18,32,1,2.62,IN,1705661666
274,whangarei,-35.7317,174.3239,21.03,95,64,2.21,NZ,1705661667
275,labytnangi,66.6572,66.4183,-27.11,100,98,0.98,RU,1705661668
276,walvis bay,-22.9575,14.5053,22.08,66,2,5.1,NA,1705661669
277,hakui,36.8833,136.7833,8.78,69,84,4.86,JP,1705661669
278,lagarto,-10.9172,-37.65,28.58,63,41,3.65,BR,1705661670
279,al jawf,29.5,38.75,17.89,27,73,2.69,SA,1705661670
280,carnarvon,-24.8667,113.6333,24.64,72,4,11.24,AU,1705661671
281,margate,51.3813,1.3862,3.26,77,6,1.79,GB,1705661671
282,tucuma,-0.1833,-50.05,25.65,91,49,2.34,BR,1705661672
283,presque isle,46.6811,-68.0159,-15.95,75,0,3.09,US,1705661672
284,mammoth lakes,37.6485,-118.9721,0.75,47,75,0.0,US,1705661673
285,weno,7.4515,151.8468,27.97,78,75,6.69,FM,1705661673
286,pacific grove,36.6177,-121.9166,12.03,90,0,1.54,US,1705661674
287,lovington,32.944,-103.3485,-5.53,65,8,8.09,US,1705661674
288,guerrero negro,27.9769,-114.0611,14.74,89,75,2.71,MX,1705661675
289,nishinoomote,30.7333,131.0,17.17,84,100,11.19,JP,1705661676
290,posto fiscal rolim de moura,-13.0833,-62.2667,24.32,93,99,0.83,BR,1705661676
291,sekong,-6.3996,106.0252,23.44,97,100,2.96,ID,1705661677
292,cimitarra,6.3142,-73.9497,23.37,82,31,0.8,CO,1705661677
293,red hill,33.9996,-79.2581,9.44,42,59,4.35,US,1705661559
294,hailin,44.5833,129.4167,-20.22,94,9,1.17,CN,1705661678
295,grootfontein,-19.5667,18.1167,27.76,44,20,2.57,NA,1705661679
296,birjand,32.8663,59.2211,16.26,14,40,6.17,IR,1705661679
297,bridport,50.7338,-2.7583,5.31,68,5,1.68,GB,1705661680
298,greenville,35.6127,-77.3663,7.09,92,100,0.45,US,1705661547
299,noumea,-22.2763,166.4572,25.99,86,41,2.03,NC,1705661110
300,timmins,48.4669,-81.3331,-26.1,76,100,2.57,CA,1705661682
301,mirnyy,62.5353,113.9611,-39.36,100,35,1.9,RU,1705661683
302,bima,-8.4667,118.7167,26.35,89,100,1.45,ID,1705661683
303,kharp,66.8014,65.8081,-25.38,100,74,0.76,RU,1705661684
304,orange walk,17.8333,-88.8333,22.32,99,66,0.34,BZ,1705661684
305,hadibu,12.65,54.0333,26.39,59,0,5.26,YE,1705661685
306,woolgoolga,-30.1106,153.2007,23.36,76,0,3.65,AU,1705661685
307,bukama,-9.2,25.85,29.12,63,37,1.44,CD,1705661686
308,tahe,52.3333,124.7333,-28.97,97,21,1.58,CN,1705661686
309,jiujiang,29.7333,115.9833,7.64,90,100,4.77,CN,1705661687
310,kirakira,-10.4544,161.9205,27.6,86,100,2.56,SB,1705661688
311,naharlagun,27.1047,93.6952,20.53,50,1,0.19,IN,1705661688
312,coquimbo,-29.9533,-71.3436,15.85,94,100,1.03,CL,1705661689
313,kralendijk,12.15,-68.2667,26.99,78,40,8.23,BQ,1705661689
314,port alfred,-33.5906,26.891,23.99,69,29,4.92,ZA,1705661690
315,ban selaphum,16.0167,103.95,32.01,32,84,2.05,TH,1705661691
316,erdenet,49.0333,104.0833,-19.51,97,100,1.82,MN,1705661691
317,kyshtovka,56.555,76.6271,-13.14,85,100,2.68,RU,1705661692
318,cabedelo,-6.9811,-34.8339,27.37,72,12,4.35,BR,1705661692
319,gadzhiyevo,69.2551,33.3362,-11.69,91,98,1.95,RU,1705661693
320,saint-philippe,-21.3585,55.7679,29.77,81,100,3.31,RE,1705661693
321,eyl,7.9803,49.8164,28.81,48,11,10.22,SO,1705661694
322,umba,66.6871,34.3429,-12.89,93,100,3.72,RU,1705661694
323,tejupilco de hidalgo,18.9,-100.15,19.25,45,97,1.87,MX,1705661695
324,knyaze-volkonskoye,48.4642,135.4567,-18.81,98,29,2.5,RU,1705661696
325,thinadhoo,0.5333,72.9333,27.73,72,7,4.89,MV,1705661697
326,vadso,70.0744,29.7487,-7.91,73,20,7.72,NO,1705661697
327,vanino,49.0869,140.2543,-20.04,99,63,1.52,RU,1705661698
328,knin,44.0439,16.2,7.85,87,100,5.18,HR,1705661698
329,pemangkat,1.1667,108.9667,25.96,88,100,3.8,ID,1705661699
330,afaahiti,-17.75,-149.2833,24.93,77,63,1.98,PF,1705661699
331,polyarnyy,69.1989,33.4478,-11.62,89,98,1.94,RU,1705661700
332,ningbo,29.8782,121.5495,9.99,100,100,2.0,CN,1705661700
333,puro,12.4841,123.3827,25.74,82,14,4.89,PH,1705661701
334,st. john's,47.5649,-52.7093,-3.35,68,100,17.49,CA,1705661507
335,reggane,26.7158,0.1714,25.01,6,74,3.59,DZ,1705661702
336,ixtapa,20.7,-105.2,20.13,85,100,0.93,MX,1705661702
337,anloga,5.7947,0.8973,28.87,65,0,2.66,GH,1705661703
338,bamboo flat,11.7,92.7167,29.05,70,20,5.14,IN,1705661703
339,ugoofaaru,5.6667,73.0,27.34,76,0,6.27,MV,1705661704
340,harper,4.375,-7.7169,29.32,65,3,2.82,LR,1705661704
341,vorkuta,67.5,64.0,-18.79,93,94,3.12,RU,1705661705
342,el granada,37.5027,-122.4694,12.4,90,40,2.06,US,1705661706
343,raseiniai,55.3736,23.1217,-2.27,91,63,7.43,LT,1705661706
344,selfoss,63.9331,-20.9971,-9.23,75,100,5.71,IS,1705661707
345,fort mcmurray,56.7268,-111.381,-23.23,77,0,3.09,CA,1705661707
346,twon-brass,4.3151,6.2418,29.29,67,5,2.89,NG,1705661708
347,san pedro pochutla,15.7333,-96.4667,22.22,67,5,1.47,MX,1705661708
348,nanao,37.05,136.9667,7.93,67,86,5.27,JP,1705661709
349,russellville,35.2784,-93.1338,0.08,64,0,5.14,US,1705661709
350,mana,5.6592,-53.7767,26.12,79,4,4.96,GF,1705661710
351,yaren,-0.5472,166.916,29.26,73,66,3.45,NR,1705661710
352,tame,6.461,-71.73,23.32,55,21,2.03,CO,1705661711
353,linkou,45.3,130.2833,-22.24,98,18,0.73,CN,1705661711
354,collinsville,38.6703,-89.9846,-8.86,83,100,9.39,US,1705661712
355,digapahandi,19.3667,84.5833,25.24,60,51,4.01,IN,1705661712
356,muroto-misakicho,33.2833,134.15,13.38,71,88,7.64,JP,1705661713
